Source:,C:\Users\marco\Documents\KiCad\Projets\Alexiares_LPF\LPF.sch,,,,,,
Date:,22/07/2020 10:55,,,,,,
Tool:,Eeschema (5.1.5)-3,,,,,,
Component Count:,134,,,,,,
Ref,Value,Footprint,Manufacturer,Type,Vendor,Reference,
J1,Conn_02x05_Counter_Clockwise,Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical,,,,,
L1,562nH,T50:T50_V_THT,Amidon,T68-6,kitsandparts.com,,
L2,169nH,T50:T50_V_THT,Amidon,T68-10,Reichelt,,
L3,3.5uH,T50:T50_V_THT,Amidon,T68-1,kitsandparts.com,,
L4,"1,66uH",T50:T50_V_THT,Amidon,T68-2,kitsandparts.com,,
L5,1.18uH,T50:T50_V_THT,Amidon,T68-2,kitsandparts.com,,
L6,311nH,T50:T50_V_THT,Amidon,T68-6,kitsandparts.com,,
L7,235nH,T50:T50_V_THT,Amidon,T68-10,Reichelt,,
L8,196nH,T50:T50_V_THT,Amidon,T68-10,Reichelt,,
L9,311nH,T50:T50_V_THT,Amidon,T68-6,kitsandparts.com,,
L10,4.4uH,T50:T50_V_THT,Amidon,T68-1,kitsandparts.com,,
L11,2.02uH,T50:T50_V_THT,Amidon,T68-2,kitsandparts.com,,
L12,1.36uH,T50:T50_V_THT,Amidon,T68-2,kitsandparts.com,,
L13,351nH,T50:T50_V_THT,Amidon,T68-6,kitsandparts.com,,
L14,311nH,T50:T50_V_THT,Amidon,T68-10,Reichelt,,
L15,169nH,T50:T50_V_THT,Amidon,T68-10,Reichelt,,
L16,311nH,T50:T50_V_THT,Amidon,T68-6,kitsandparts.com,,
L17,Choke,Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Murata,Ferrite bead,Mouser,BLM21PG221SN1D,
L24,Choke,Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Murata,Ferrite bead,Mouser,BLM21PG221SN1D,
